epoch,time,train_loss,train_acc,val_loss,val_acc
1,133.89693307876587,0.3391266887594466,0.8560377605873869,0.23550350641210874,0.9045621394861039
2,123.89360761642456,0.14037450692893072,0.947161400288449,0.2067219426855445,0.9155742003146303
3,123.73579335212708,0.06683126060783115,0.9770551986364232,0.3186536236355702,0.8982695332983744
4,123.49815702438354,0.04918802784420706,0.9825619509636817,0.2579012847815951,0.9150498164656529
5,125.41774463653564,0.034235282071912856,0.987675363838993,0.3126234662098189,0.9155742003146303
6,123.08085346221924,0.03264116493558363,0.9893798347974302,0.36793507589027286,0.9077084425799685
7,125.88412475585938,0.02478902172964557,0.9927887767143044,0.3384239296118418,0.9171473518615627
8,127.0454773902893,0.017820409352006586,0.9946243608233906,0.3771474297934522,0.9124278972207656
9,124.4252438545227,0.024694333929131607,0.9927887767143044,0.3994746120646596,0.9124278972207656
10,125.20701622962952,0.013111223028584288,0.9959354923298807,0.42295220266096295,0.9003670686942842
